Name,Tier,Serial,,
Case Keenum,Core,144,,
Case Keenum,Rare,4,,
Cedrick Wilson Jr.,Core,498,,
Cedrick Wilson Jr.,Core,138,,
Cedrick Wilson Jr.,Core,419,,
Cedrick Wilson Jr.,Rare,104,,
Cedrick Wilson Jr.,Rare,8,,
CeeDee Lamb,Elite,18,,
CeeDee Lamb,Legendary,10,,
Chad Henne,Core,94,,
Chase Claypool,Elite,26,,
Chase Claypool,Reignmaker,1,,
Chase Claypool,Legendary,3,,
Chase Daniel,Rare,15,,
Chase Edmonds,Legendary,3,,
Chase Edmonds,Core,119,,
Chase Edmonds,Elite,5,,
Chase Edmonds,Rare,6,,
Chase Winovich,Rare,16,,
Chase Young,Elite,5,,
Chris Boswell,Elite,9,,
Chris Boswell,Rare,23,,
Chris Boswell,Rare,52,,
Chris Boswell,Core,116,,
Chris Conley,Rare,12,,
Chris Evans,Core,19,,
Chris Godwin,Elite,24,,
Chris Godwin,Core,329,,
Chris Godwin,Core,477,,
Christian Kirk,Core,457,,
Christian Kirk,Reignmaker,1,,
Christian Kirk,Elite,19,,
Christian Kirk,Core,49,,
Christian Kirk,Core,439,,
Christian Kirk,Elite,12,,
Christian Kirksey,Legendary,4,,
Christian Kirksey,Core,131,,
Christian McCaffrey,Elite,16,,
Christian McCaffrey,Core,293,,
Chubba Hubbard,Elite,11,,
Clyde Edwards-Helaire,Core,443,,
Clyde Edwards-Helaire,Rare,68,,
Clyde Edwards-Helaire,Elite,16,,
Cole Kmet,Core,334,,
Cole Kmet,Core,23,,
Cole Kmet,Core,363,,
Cole Kmet,Core,330,,
Cooper Kupp,Reignmaker,1,,
Cooper Kupp,Core,344,,
Cooper Kupp,Elite,26,,
Cordarrelle Patterson,Core,307,,
Cordarrelle Patterson,Rare,27,,
Corey Davis,Elite,2,,
Corey Davis,Core,245,,
Courtland Sutton,Core,506,,
Courtland Sutton,Legendary,4,,
Curtis Samuel,Elite,3,,
Dak Prescott,Elite,12,,
Dak Prescott,Core,567,,
Dak Prescott,Elite,26,,
Dak Prescott,Core,383,,
Dak Prescott,Rare,91,,
Dak Prescott,Legendary,7,,
Dallas Goedert,Core,424,,
Dallas Goedert,Core,315,,
Dallas Goedert,Core,111,,
Dallas Goedert,Elite,17,,
Dallas Goedert,Legendary,8,,
Dalton Schultz,Rare,37,,
Dalvin Cook,Elite,21,,
Dalvin Cook,Rare,31,,
Dalvin Cook,Elite,5,,
Dalvin Cook,Core,171,,
Damien Harris,Legendary,2,,
Damien Harris,Core,321,,
Damien Harris,Rare,29,,
Damien Harris,Rare,41,,
Damien Harris,Core,574,,
Damien Harris,Elite,17,,
Damien Williams,Core,578,,
Damien Williams,Core,353,,
Damien Williams,Elite,30,,
Damien Williams,Legendary,1,,
D'Andre Swift,Rare,111,,
D'Andre Swift,Core,203,,
D'Andre Swift,Elite,20,,
D'Andre Swift,Rare,80,,
Daniel Carlson,Core,311,,
Daniel Carlson,Elite,8,,
Daniel Carlson,Core,111,,
Daniel Carlson,Rare,96,,
Daniel Jones,Elite,18,,
Daniel Jones,Core,364,,
Daniel Jones,Core,214,,
Daniel Jones,Rare,90,,
Daniel Jones,Rare,117,,
Daniel Jones,Rare,44,,
Daniel Jones,Reignmaker,1,,
Daniel Jones,Reignmaker,2,,
Darius Leonard,Core,12,,
Darius Slayton,Elite,7,,
Darius Slayton,Rare,19,,
Darnell Mooney,Legendary,5,,
Darnell Mooney,Legendary,2,,
Darnell Mooney,Core,12404,,
Darnell Savage,Rare,38,,
Darrell Henderson Jr.,Core,102,,
Darrell Henderson Jr.,Rare,7,,
