Name,Tier,Serial,,
Nico Collins,Core,425,,
N'Keal Harry,Core,183,,
Noah Fant,Rare,10,,
Nyheim Hines,Rare,35,,
Nyheim Hines,Core,42,,
Nyheim Hines,Rare,119,,
Nyheim Hines,Legendary,10,,
O.J. Howard,Rare,9,,
Olamide Zaccheaus,Core,318,,
Olamide Zaccheaus,Core,264,,
Parris Campbell,Core,58,,
Parris Campbell,Core,549,,
Parris Campbell,Elite,1,,
Parris Campbell,Rare,24,,
Parris Campbell,Core,166,,
Pat Freiermuth,Rare,67,,
Pat Freiermuth,Core,439,,
Pat Freiermuth,Core,519,,
Pat Freiermuth,Core,554,,
Patrick Mahomes,Elite,2,,
Patrick Mahomes,Legendary,10,,
Patrick Mahomes,Elite,17,,
Patrick Mahomes,Legendary,6,,
Patrick Mahomes,Core,23,,
Patrick Mahomes,Core,558,,
Patrick Mahomes,Elite,9,,
Quez Watkins,Core,47,,
Quez Watkins,Core,189,,
Quez Watkins,Rare,12,,
Quinnen Williams,Elite,5,,
Quinnen Williams,Legendary,2,,
Raheem Mostert,Core,554,,
Raheem Mostert,Core,517,,
Raheem Mostert,Elite,23,,
Raheem Mostert,Elite,19,,
Raheem Mostert,Elite,10,,
Randall Cobb,Core,362,,
Randall Cobb,Elite,14,,
Randall Cobb,Legendary,6,,
Randall Cobb,Core,121,,
Randall Cobb,Core,169,,
Randall Cobb,Core,504,,
Randy Bullock,Core,334,,
Randy Bullock,Core,100,,
Randy Bullock,Core,61,,
Randy Bullock,Rare,48,,
Rashaad Penny,Core,216,,
Rashaad Penny,Core,263,,
Rashaad Penny,Elite,22,,
Rashard Higgins,Elite,5,,
Rashod Bateman,Core,3,,
Rashod Bateman,Rare,82,,
Rex Burkhead,Core,7,,
Rex Burkhead,Core,221,,
Rex Burkhead,Core,240,,
Rex Burkhead,Rare,104,,
Rex Burkhead,Legendary,10,,
Rhamondre Stevenson,Core,385,,
Rhamondre Stevenson,Core,38,,
Richie James Jr.,Rare,15,,
Richie James Jr.,Core,61,,
Richie James Jr.,Core,112,,
Richie James Jr.,Core,160,,
Richie James Jr.,Elite,7,,
Richie James Jr.,Rare,68,,
Riley Patterson,Core,364,,
Riley Patterson,Core,455,,
Riley Patterson,Legendary,10,,
Riley Patterson,Core,218,,
Riley Patterson,Elite,13,,
Riley Patterson,Rare,82,,
Robbie Anderson,Core,112,,
Robbie Anderson,Core,121,,
Robbie Anderson,Rare,73,,
Robbie Anderson,Core,270,,
Robbie Gould,Legendary,5,,
Robbie Gould,Core,185,,
Robbie Gould,Core,166,,
Robbie Gould,Core,221,,
Robbie Gould,Rare,8,,
Robbie Gould,Core,593,,
Robbie Gould,Rare,50,,
Robbie Gould,Core,515,,
Robbie Gould,Rare,48,,
Robert Quinn,Rare,100,,
Robert Quinn,Core,164,,
Robert Tonyan,Core,66,,
Robert Tonyan,Rare,108,,
Robert Tonyan,Core,246,,
Robert Tonyan,Core,507,,
Robert Tonyan,Elite,8,,
Robert Tonyan,Elite,6,,
Robert Tonyan,Rare,49,,
Robert Tonyan,Rare,63,,
Robert Woods,Rare,22,,
Robert Woods,Reignmaker,1,,
Robert Woods,Core,121,,
Robert Woods,Rare,12,,
Rodrigo Blankenship,Elite,30,,
Rodrigo Blankenship,Rare,47,,
Rodrigo Blankenship,Core,152,,
Ronald Jones II,Legendary,10,,
Ronald Jones II,Core,398,,
Ronald Jones II,Rare,30,,
Rondale Moore,Elite,12,,
Ross Dwelley,Rare,1,,
Royce Freeman,Core,90,,
Royce Freeman,Core,27,,
Russell Gage,Rare,7,,
Russell Gage,Core,377,,
Russell Gage,Core,380,,
Russell Gage,Core,544,,
Russell Gage,Rare,111,,
Russell Wilson,Elite,21,,
Russell Wilson,Legendary,2,,
Ryan Succop,Core,283,,
Ryan Succop,Rare,106,,
Ryan Succop,Core,34,,
Ryan Succop,Rare,86,,
Ryan Tannehill,Elite,7,,
Ryan Tannehill,Rare,88,,
Ryan Tannehill,Legendary,2,,
Ryan Tannehill,Core,589,,
Ryan Tannehill,Core,511,,
Ryan Tannehill,Legendary,4,,
Ryan Tannehill,Rare,93,,
Salvon Ahmed,Legendary,3,,
Samaje Perine,Core,61,,
Sammy Watkins,Core,154,,
Saquon Barkley,Legendary,2,,
Saquon Barkley,Core,339,,
Saquon Barkley,Core,429,,
Saquon Barkley,Legendary,9,,
Seth Williams,Elite,8,,
Shaquil Barrett,Core,5,,
Shaquil Barrett,Core,69,,
Sidney Jones IV,Rare,3,,
Sidney Jones IV,Elite,5,,
Stefon Diggs,Elite,20,,
Stefon Diggs,Elite,10,,
Stefon Diggs,Reignmaker,1,,
Stefon Diggs,Elite,4,,
Stefon Diggs,Core,439,,
Stefon Diggs,Core,535,,
Stefon Diggs,Core,10570,,
Stephon Gilmore,Rare,9,,
Stephon Gilmore,Core,121,,
Stephon Gilmore,Core,150,,
Sterling Shepard,Core,105,,
Sterling Shepard,Core,451,,
Sterling Shepard,Core,30,,
Sterling Shepard,Elite,5,,
Sterling Shepard,Rare,39,,
T.J. Hockenson,Core,547,,
T.J. Hockenson,Elite,26,,
T.J. Hockenson,Core,62,,
T.J. Hockenson,Core,489,,
T.J. Hockenson,Elite,14,,
T.J. Hockenson,Legendary,9,,
Taylor Heinicke,Core,104,,
Taysom Hill,Core,364,,
Taysom Hill,Elite,25,,
Taysom Hill,Core,524,,
Tee Higgins,Legendary,1,,
Tee Higgins,Legendary,4,,
Tee Higgins,Core,454,,
Tee Higgins,Rare,62,,
Tee Higgins,Core,538,,
Tee Higgins,Elite,4,,
Tee Higgins,Elite,12,,
Tee Higgins,Rare,97,,
Terrace Marshall Jr.,Core,132,,
Terrace Marshall Jr.,Elite,22,,
Terrace Marshall Jr.,Rare,49,,
Terry McLaurin,Rare,18,,
Terry McLaurin,Core,292,,
Terry McLaurin,Reignmaker,1,,
Terry McLaurin,Rare,82,,
Tevin Coleman,Core,272,,
Tevin Coleman,Rare,94,,
Tevin Coleman,Reignmaker,1,,
Tim Boyle,Elite,37,,
Tim Patrick,Core,245,,
Tim Patrick,Elite,25,,
Tom Brady,Rare,50,,
Tom Brady,Core,560,,
Tommy Tremble,Core,32,,
Tony Pollard,Core,226,,
Tony Pollard,Core,447,,
Tony Pollard,Rare,25,,
Tony Pollard,Core,122,,
Tony Pollard,Rare,94,,
Tracy Walker,Elite,1,,
Travis Etienne Jr.,Rare,37,,
Travis Etienne Jr.,Core,87,,
Travis Etienne Jr.,Core,577,,
Travis Etienne Jr.,Rare,29,,
Travis Homer,Core,145,,
Travis Kelce,Rare,59,,
Travis Kelce,Reignmaker,1,,
Travis Kelce,Legendary,1,,
Travis Kelce,Elite,3,,
Travis Kelce,Elite,22,,
Travis Kelce,Elite,19,,
Travis Kelce,Elite,13,,
Tre'Davious White,Legendary,3,,
Trevis Gipson,Rare,2,,
Trevis Gipson,Rare,9,,
Trevor Lawrence,Core,158,,
Trevor Lawrence,Core,33,,
Trevor Lawrence,Elite,9,,
Trevor Lawrence,Rare,75,,
Trevor Lawrence,Rare,73,,
Trevor Lawrence,Elite,1,,
Trevor Lawrence,Legendary,6,,
Trey Hendrickson,Elite,5,,
Trey Hendrickson,Core,47,,
Trey Lance,Elite,24,,
Trey Lance,Rare,82,,
Trey Sermon,Rare,11,,
Tua Tagovailoa,Rare,90,,
Tua Tagovailoa,Core,264,,
Tutu Atwell,Legendary,3,,
Ty Johnson,Rare,36,,
Ty Johnson,Core,200,,
Ty Montgomery,Elite,6,,
Ty Montgomery,Core,136,,
Tyler Bass,Core,111,,
Tyler Bass,Core,167,,
Tyler Bass,Core,169,,
Tyler Bass,Elite,17,,
Tyler Bass,Rare,106,,
Tyler Boyd,Core,584,,
Tyler Boyd,Core,518,,
Tyler Boyd,Legendary,7,,
Tyler Boyd,Core,84,,
Tyler Higbee,Rare,89,,
Tyler Higbee,Core,558,,
Tyler Lockett,Core,314,,
Tyler Lockett,Core,370,,
Tyler Lockett,Elite,11,,
Tyrann Mathieu,Rare,7,,
Tyrann Mathieu,Core,32,,
Tyreek Hill,Rare,65,,
Tyreek Hill,Core,510,,
Tyreek Hill,Core,354,,
Tyreek Hill,Legendary,3,,
Tyreek Hill,Core,276,,
Tyreek Hill,Core,526,,
Tyreek Hill,Rare,62,,
Tyrod Taylor,Rare,161,,
Van Jefferson,Core,180,,
Van Jefferson,Core,522,,
Van Jefferson,Rare,94,,
Vonn Bell,Rare,2,,
Wil Lutz,Rare,69,,
Wil Lutz,Rare,28,,
Wil Lutz,Core,90,,
Wil Lutz,Core,5,,
Wil Lutz,Core,476,,
Wil Lutz,Elite,5,,
Wil Lutz,Rare,102,,
Wil Lutz,Rare,77,,
Will Dissly,Rare,21,,
Will Dissly,Core,102,,
Xavier Mckinney,Core,171,,
Xavier Mckinney,Rare,20,,
Xavier Mckinney,Core,168,,
Xavier Woods,Rare,39,,
Xavier Woods,Rare,23,,
Xavier Woods,Elite,2,,
Yannick Ngakoue,Core,67,,
Yannick Ngakoue,Rare,9,,
Younghoe Koo,Reignmaker,1,,
Younghoe Koo,Core,31,,
Younghoe Koo,Rare,81,,
Zach Ertz,Rare,29,,
Zach Ertz,Core,582,,
Zach Ertz,Elite,12,,
Zach Ertz,Core,356,,
Zach Ertz,Core,415,,
Zach Ertz,Elite,5,,
Zach Wilson,Core,274,,
Za'Darius Smith,Core,131,,
Za'Darius Smith,Rare,6,,
Zane Gonzalez,Elite,24,,
Zane Gonzalez,Rare,117,,
Zane Gonzalez,Core,11548,,
Zane Gonzalez,Rare,22,,
Zay Jones,Core,430,,
Zay Jones,Rare,29,,
Zay Jones,Core,284,,
Zay Jones,Rare,53,,
